customerID,tenure,MonthlyCharges,Contract,InternetService,churn_probability,risk_category
7024-OHCCK,2,93.85,Month-to-month,Fiber optic,0.9246579532665917,High Risk 🔴
8149-RSOUN,1,93.85,Month-to-month,Fiber optic,0.9215136450234866,High Risk 🔴
3158-MOERK,2,96.0,Month-to-month,Fiber optic,0.9202151771999392,High Risk 🔴
4910-GMJOT,1,94.6,Month-to-month,Fiber optic,0.9198845521971064,High Risk 🔴
9497-QCMMS,1,93.55,Month-to-month,Fiber optic,0.9193536427745618,High Risk 🔴
5178-LMXOP,1,95.1,Month-to-month,Fiber optic,0.9190061577737203,High Risk 🔴
2720-WGKHP,2,94.0,Month-to-month,Fiber optic,0.9187507508669671,High Risk 🔴
9300-AGZNL,1,94.0,Month-to-month,Fiber optic,0.9183554342478688,High Risk 🔴
5567-WSELE,3,94.6,Month-to-month,Fiber optic,0.9182015593340482,High Risk 🔴
3049-SOLAY,3,95.2,Month-to-month,Fiber optic,0.9177121103423834,High Risk 🔴
7851-WZEKY,2,95.15,Month-to-month,Fiber optic,0.915463999129899,High Risk 🔴
0295-PPHDO,1,95.45,Month-to-month,Fiber optic,0.9150619938598191,High Risk 🔴
7216-EWTRS,1,100.8,Month-to-month,Fiber optic,0.9148368705217196,High Risk 🔴
4424-TKOPW,2,93.85,Month-to-month,Fiber optic,0.9147531951866463,High Risk 🔴
9057-SIHCH,3,96.6,Month-to-month,Fiber optic,0.9122610521294062,High Risk 🔴
8098-LLAZX,4,95.45,Month-to-month,Fiber optic,0.9119686333796699,High Risk 🔴
4626-GYCZP,7,93.85,Month-to-month,Fiber optic,0.9117229393227756,High Risk 🔴
3489-HHPFY,2,84.05,Month-to-month,Fiber optic,0.9106132130658954,High Risk 🔴
1374-DMZUI,4,94.3,Month-to-month,Fiber optic,0.9100732935283353,High Risk 🔴
9611-CTWIH,3,89.45,Month-to-month,Fiber optic,0.9095336731447957,High Risk 🔴
6861-XWTWQ,7,99.25,Month-to-month,Fiber optic,0.9094879003246507,High Risk 🔴
2982-VPSGI,11,94.0,Month-to-month,Fiber optic,0.9087986042877223,High Risk 🔴
6521-YYTYI,1,93.3,Month-to-month,Fiber optic,0.908160544382836,High Risk 🔴
5519-NPHVG,12,94.2,Month-to-month,Fiber optic,0.9079325010601634,High Risk 🔴
1415-YFWLT,1,89.3,Month-to-month,Fiber optic,0.9075783164148136,High Risk 🔴
2034-GDRCN,2,90.4,Month-to-month,Fiber optic,0.907153079445095,High Risk 🔴
5419-JPRRN,1,101.45,Month-to-month,Fiber optic,0.9067837070998123,High Risk 🔴
