Transaction_ID,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Store_Branch,Rating,Month,Month_Num,Segment
TXN00753,CUST0276,33,Female,Accessories,Wireless Charger Pad,4,76.3,10,274.68,2025-06-15,Ras Al Khaimah,Debit Card,Online Store,3.0,June,6,High-Value
TXN00888,CUST0268,34,Female,Wearables,Samsung Galaxy Watch 6,2,1744.71,20,2791.54,2025-04-24,Abu Dhabi,Apple Pay,Downtown Branch,3.0,April,4,High-Value
TXN01079,CUST0236,32,Male,Cameras,Canon EOS R50,3,5619.87,10,15173.65,2025-07-08,Fujairah,Debit Card,Online Store,5.0,July,7,Loyal/Regular
TXN00860,CUST0059,51,Male,Audio,Bose QuietComfort,1,1718.41,10,1546.57,2025-06-27,Al Ain,Apple Pay,Mall Branch,5.0,June,6,Loyal/Regular
TXN00399,CUST0221,65,Male,Gaming,Xbox Series X,1,1538.92,10,1385.03,2025-12-09,Ajman,Cash,Outlet Branch,4.0,December,12,Loyal/Regular
TXN01160,CUST0092,45,Male,Tablets,iPad Air,1,2518.34,0,2518.34,2025-01-13,Abu Dhabi,Tabby (BNPL),Outlet Branch,5.0,January,1,At-Risk
TXN01002,CUST0253,52,Female,TVs,Hisense 43in 4K,1,3317.89,0,3317.89,2025-04-19,Ras Al Khaimah,Tabby (BNPL),Outlet Branch,4.0,April,4,High-Value
TXN00048,CUST0117,60,Female,Smart Home,Philips Hue Starter Kit,1,1018.79,5,967.85,2025-04-11,Ajman,Cash,Online Store,4.0,April,4,High-Value
TXN00674,CUST0211,27,Male,Audio,Sony WH-1000XM5,1,898.13,0,898.13,2025-09-04,Ajman,Cash,Mall Branch,4.0,September,9,At-Risk
TXN00957,CUST0005,45,Male,Accessories,Anker Power Bank,1,339.08,10,305.17,2025-03-02,Dubai,Tabby (BNPL),Mall Branch,4.0,March,3,Loyal/Regular
TXN00929,CUST0055,29,Male,Accessories,Laptop Sleeve,1,133.57,10,120.21,2025-12-26,Fujairah,Debit Card,Mall Branch,5.0,December,12,High-Value
TXN00980,CUST0233,44,Female,TVs,Samsung 55in QLED,4,6070.51,0,24282.04,2025-12-16,Fujairah,Cash,Mall Branch,5.0,December,12,High-Value
TXN00487,CUST0103,30,Female,Cameras,DJI Osmo Pocket 3,1,1981.43,0,1981.43,2025-11-07,Sharjah,Tabby (BNPL),Mall Branch,5.0,November,11,High-Value
TXN00708,CUST0035,54,Female,Audio,Bose QuietComfort,2,828.61,0,1657.22,2025-05-25,Sharjah,Credit Card,Online Store,4.0,May,5,Loyal/Regular
TXN00849,CUST0195,59,Male,Mobiles,Xiaomi Redmi Note 13,5,3721.37,0,18606.85,2025-03-01,Fujairah,Apple Pay,Online Store,4.0,March,3,Loyal/Regular
TXN00927,CUST0156,30,Female,Smart Home,Amazon Echo Dot,2,1111.97,0,2223.94,2025-06-22,Abu Dhabi,Debit Card,Online Store,3.0,June,6,High-Value
TXN00898,CUST0148,53,Female,Cameras,GoPro Hero 12,1,5036.35,0,5036.35,2025-11-16,Al Ain,Cash,Downtown Branch,3.0,November,11,High-Value
TXN00930,CUST0090,24,Male,Smart Home,Ring Video Doorbell,1,1118.49,0,1118.49,2025-01-24,Sharjah,Credit Card,Outlet Branch,5.0,January,1,At-Risk
TXN01039,CUST0238,19,Male,Audio,Sony WH-1000XM5,1,789.5,15,671.08,2025-05-11,Sharjah,Cash,Outlet Branch,4.0,May,5,Loyal/Regular
TXN00787,CUST0052,36,Female,Smart Home,Ring Video Doorbell,1,357.42,10,321.68,2025-06-16,Sharjah,Credit Card,Downtown Branch,5.0,June,6,Loyal/Regular
TXN00437,CUST0185,65,Male,Mobiles,iPhone 15,1,3643.49,10,3279.14,2025-11-25,Ras Al Khaimah,Apple Pay,Mall Branch,4.0,November,11,High-Value
TXN00138,CUST0009,46,Female,Audio,AirPods Pro 2,1,261.03,0,261.03,2025-10-28,Fujairah,Credit Card,Downtown Branch,5.0,October,10,At-Risk
TXN00641,CUST0235,65,Male,Tablets,iPad Air,1,2644.52,0,2644.52,2025-02-18,Abu Dhabi,Cash,Mall Branch,5.0,February,2,Loyal/Regular
TXN00825,CUST0118,38,Male,Smart Home,Amazon Echo Dot,1,760.01,0,760.01,2025-10-24,Dubai,Debit Card,Mall Branch,4.0,October,10,Loyal/Regular
TXN00274,CUST0272,53,Male,Audio,Sony WH-1000XM5,2,1266.63,0,2533.26,2025-10-12,Ras Al Khaimah,Cash,Downtown Branch,3.0,October,10,Loyal/Regular
TXN00415,CUST0273,48,Female,Laptops,Dell XPS 13,5,2991.56,0,14957.8,2025-11-02,Ajman,Debit Card,Online Store,4.0,November,11,At-Risk
TXN00103,CUST0208,22,Female,TVs,Hisense 43in 4K,1,1696.22,0,1696.22,2025-06-07,Sharjah,Cash,Downtown Branch,4.0,June,6,Loyal/Regular
TXN00392,CUST0079,39,Male,Cameras,GoPro Hero 12,2,2774.3,0,5548.6,2025-07-03,Al Ain,Credit Card,Downtown Branch,3.0,July,7,High-Value
TXN01134,CUST0078,22,Male,Audio,Bose QuietComfort,1,384.97,0,384.97,2025-09-17,Fujairah,Cash,Mall Branch,5.0,September,9,At-Risk
TXN00609,CUST0152,39,Female,Cameras,Canon EOS R50,4,4030.47,0,16121.88,2025-07-14,Fujairah,Credit Card,Outlet Branch,5.0,July,7,High-Value
TXN00021,CUST0165,24,Female,Audio,AirPods Pro 2,1,1093.47,10,984.12,2025-01-24,Abu Dhabi,Apple Pay,Outlet Branch,4.0,January,1,At-Risk
TXN00200,CUST0110,22,Male,Tablets,Xiaomi Pad 6,1,2425.01,0,2425.01,2025-12-05,Ajman,Credit Card,Outlet Branch,4.0,December,12,High-Value
TXN00100,CUST0266,38,Male,TVs,Samsung 55in QLED,2,2904.12,0,5808.24,2025-01-10,Ajman,Tabby (BNPL),Mall Branch,4.0,January,1,High-Value
TXN00271,CUST0176,26,Male,Smart Home,Ring Video Doorbell,3,300.39,0,901.17,2025-01-11,Ajman,Debit Card,Online Store,5.0,January,1,Loyal/Regular
TXN00780,CUST0209,35,Female,Gaming,PlayStation 5,1,1485.8802727272732,0,1485.88,2025-01-19,Abu Dhabi,Credit Card,Mall Branch,5.0,January,1,At-Risk
TXN00843,CUST0132,58,Female,Accessories,USB-C Cable Pack,5,330.75,0,1653.75,2025-05-10,Al Ain,Apple Pay,Outlet Branch,5.0,May,5,At-Risk
TXN00769,CUST0266,38,Male,TVs,Hisense 43in 4K,1,2151.01,0,2151.01,2025-12-12,Ajman,Tabby (BNPL),Downtown Branch,4.0,December,12,High-Value
TXN00910,CUST0001,58,Male,Mobiles,Xiaomi Redmi Note 13,3,1309.56,10,3535.81,2025-07-25,Dubai,Tabby (BNPL),Downtown Branch,5.0,July,7,At-Risk
TXN00469,CUST0004,24,Male,Cameras,DJI Osmo Pocket 3,1,5657.42,0,5657.42,2025-06-18,Al Ain,Tabby (BNPL),Online Store,2.0,June,6,Loyal/Regular
TXN00670,CUST0217,55,Male,Laptops,Dell XPS 13,1,2976.58,0,2976.58,2025-09-01,Fujairah,Apple Pay,Outlet Branch,5.0,September,9,High-Value
TXN00693,CUST0136,18,Female,Laptops,HP Pavilion 15,1,8261.07,0,8261.07,2025-07-03,Fujairah,Cash,Downtown Branch,3.0,July,7,High-Value
TXN00489,CUST0200,47,Female,TVs,LG 65in OLED,4,5960.38,0,23841.52,2025-07-25,Fujairah,Apple Pay,Outlet Branch,4.0,July,7,High-Value
TXN00438,CUST0069,52,Male,Laptops,HP Pavilion 15,1,3969.06,0,3969.06,2025-03-02,Ras Al Khaimah,Credit Card,Mall Branch,4.0,March,3,Loyal/Regular
TXN00996,CUST0068,56,Female,TVs,Samsung 55in QLED,1,1720.38,5,1634.36,2025-11-01,Sharjah,Credit Card,Downtown Branch,3.0,November,11,Loyal/Regular
TXN00491,CUST0156,30,Female,Smart Home,Amazon Echo Dot,5,813.89,0,4069.45,2025-07-11,Abu Dhabi,Credit Card,Outlet Branch,5.0,July,7,High-Value
TXN00998,CUST0242,62,Female,Smart Home,Philips Hue Starter Kit,1,601.01,0,601.01,2025-03-10,Fujairah,Tabby (BNPL),Downtown Branch,4.0,March,3,High-Value
TXN00915,CUST0216,31,Female,Smart Home,Ring Video Doorbell,1,179.06,20,143.25,2025-06-25,Ajman,Debit Card,Online Store,5.0,June,6,High-Value
TXN00412,CUST0268,34,Female,TVs,Hisense 43in 4K,5,5436.69,5,25824.28,2025-10-13,Abu Dhabi,Tabby (BNPL),Mall Branch,4.0,October,10,High-Value
TXN00506,CUST0167,56,Male,Audio,Sony WH-1000XM5,1,688.12,5,653.71,2025-12-13,Ajman,Debit Card,Mall Branch,4.0,December,12,At-Risk
TXN00269,CUST0158,19,Male,Smart Home,Philips Hue Starter Kit,1,540.27,0,540.27,2025-01-02,Ajman,Tabby (BNPL),Mall Branch,4.0,January,1,At-Risk
TXN01106,CUST0079,39,Male,Audio,AirPods Pro 2,1,490.14,0,490.14,2025-09-28,Al Ain,Credit Card,Downtown Branch,4.0,September,9,High-Value
TXN00857,CUST0172,39,Female,Laptops,Dell XPS 13,1,4941.18,0,4941.18,2025-02-14,Ras Al Khaimah,Apple Pay,Online Store,5.0,February,2,Loyal/Regular
TXN01181,CUST0118,38,Male,Mobiles,Google Pixel 8,2,1482.57,10,2668.63,2025-03-20,Dubai,Cash,Outlet Branch,5.0,March,3,Loyal/Regular
TXN00362,CUST0242,62,Female,Cameras,GoPro Hero 12,1,3012.58,0,3012.58,2025-11-12,Fujairah,Cash,Outlet Branch,4.0,November,11,High-Value
TXN00315,CUST0079,39,Male,Mobiles,Google Pixel 8,1,3452.41,0,3452.41,2025-02-09,Al Ain,Tabby (BNPL),Mall Branch,4.0,February,2,High-Value
TXN00062,CUST0100,42,Male,Gaming,Nintendo Switch OLED,3,1900.23,10,5130.62,2025-03-05,Ajman,Cash,Downtown Branch,3.0,March,3,High-Value
TXN00231,CUST0199,25,Female,Gaming,Xbox Series X,1,687.42,10,618.68,2025-10-19,Sharjah,Credit Card,Online Store,5.0,October,10,High-Value
TXN00660,CUST0169,20,Female,Mobiles,Samsung Galaxy S24,1,3191.84,0,3191.84,2025-12-22,Dubai,Debit Card,Outlet Branch,4.0,December,12,High-Value
TXN00356,CUST0092,45,Male,Accessories,Wireless Charger Pad,3,143.13,0,429.39,2025-12-22,Abu Dhabi,Debit Card,Outlet Branch,5.0,December,12,At-Risk
TXN00328,CUST0149,65,Male,Tablets,Xiaomi Pad 6,1,2103.14,0,2103.14,2025-01-08,Sharjah,Tabby (BNPL),Downtown Branch,5.0,January,1,Loyal/Regular
TXN00183,CUST0096,59,Male,Gaming,Logitech G502 Mouse,3,1662.7,20,3990.48,2025-06-07,Dubai,Apple Pay,Outlet Branch,4.0,June,6,Loyal/Regular
TXN00513,CUST0152,39,Female,Audio,Sony WH-1000XM5,2,176.28,0,352.56,2025-06-19,Fujairah,Tabby (BNPL),Mall Branch,5.0,June,6,High-Value
TXN00526,CUST0018,53,Female,Gaming,Nintendo Switch OLED,1,625.48,20,500.38,2025-07-04,Fujairah,Credit Card,Outlet Branch,5.0,July,7,High-Value
TXN00985,CUST0252,54,Male,Wearables,Samsung Galaxy Watch 6,1,2074.98,5,1971.23,2025-09-21,Abu Dhabi,Tabby (BNPL),Downtown Branch,5.0,September,9,Loyal/Regular
TXN00914,CUST0224,39,Female,Laptops,Dell XPS 13,2,5449.29,0,10898.58,2025-10-12,Ras Al Khaimah,Apple Pay,Online Store,4.0,October,10,High-Value
TXN00474,CUST0150,28,Male,Cameras,Canon EOS R50,1,2577.49,0,2577.49,2025-12-09,Ajman,Cash,Downtown Branch,5.0,December,12,At-Risk
TXN00695,CUST0071,59,Female,Wearables,Fitbit Charge 6,1,321.33,10,289.2,2025-11-13,Ajman,Apple Pay,Mall Branch,4.0,November,11,High-Value
TXN01089,CUST0119,47,Male,Audio,JBL Flip 6,1,977.94,0,977.94,2025-01-10,Dubai,Tabby (BNPL),Downtown Branch,4.0,January,1,Loyal/Regular
TXN00227,CUST0256,44,Female,Smart Home,Ring Video Doorbell,1,214.03,0,214.03,2025-02-26,Dubai,Tabby (BNPL),Downtown Branch,5.0,February,2,Loyal/Regular
TXN01065,CUST0115,31,Female,Tablets,iPad Air,2,2378.79,15,4043.94,2025-04-08,Sharjah,Debit Card,Outlet Branch,5.0,April,4,Loyal/Regular
TXN00621,CUST0200,47,Female,Smart Home,Philips Hue Starter Kit,2,985.77,10,1774.39,2025-09-10,Fujairah,Credit Card,Outlet Branch,3.0,September,9,High-Value
TXN00364,CUST0101,34,Female,Tablets,Samsung Galaxy Tab S9,1,2024.36,0,2024.36,2025-01-28,Abu Dhabi,Tabby (BNPL),Online Store,5.0,January,1,At-Risk
TXN00069,CUST0077,63,Male,Gaming,PlayStation 5,1,1582.03,0,1582.03,2025-12-23,Sharjah,Apple Pay,Downtown Branch,4.0,December,12,At-Risk
TXN00525,CUST0090,24,Male,Tablets,Samsung Galaxy Tab S9,1,1366.13,0,1366.13,2025-01-09,Sharjah,Cash,Downtown Branch,3.0,January,1,At-Risk
TXN00884,CUST0233,44,Female,Accessories,Anker Power Bank,4,299.78,0,1199.12,2025-03-27,Fujairah,Credit Card,Downtown Branch,3.0,March,3,High-Value
TXN00452,CUST0141,62,Male,Laptops,MacBook Air M3,1,8687.24,0,8687.24,2025-07-18,Al Ain,Cash,Online Store,3.0,July,7,Loyal/Regular
TXN00466,CUST0196,24,Female,Smart Home,Ring Video Doorbell,1,606.95,0,606.95,2025-01-18,Sharjah,Apple Pay,Online Store,5.0,January,1,Loyal/Regular
TXN00350,CUST0001,58,Male,Tablets,iPad Air,2,3491.09,0,6982.18,2025-05-19,Dubai,Debit Card,Mall Branch,5.0,May,5,At-Risk
TXN00240,CUST0253,52,Female,Smart Home,Philips Hue Starter Kit,1,723.33,0,723.33,2025-12-21,Ras Al Khaimah,Debit Card,Downtown Branch,4.0,December,12,High-Value
TXN00716,CUST0023,32,Male,Smart Home,Amazon Echo Dot,1,1006.41,5,956.09,2025-09-18,Ajman,Apple Pay,Outlet Branch,3.0,September,9,High-Value
TXN00530,CUST0143,53,Male,Audio,Sony WH-1000XM5,3,287.92,5,820.57,2025-12-17,Ajman,Apple Pay,Downtown Branch,4.0,December,12,High-Value
